Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Virtual Function,"BlinkGCPluginConsumer::HandleTranslationUnit",,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.50,,,,
Struct,"BlinkGCPluginOptions",0,2,0,0,4,0,1,1,1,1,2,0,2,0,0,0,0,,0,0,,,,,1,0,0,0,0,1,1,0,0,0,0,1,,4,0,4,2,0,0,0,0,,,,1,1,0,0,,,,,,1,1,1,1,,0,,,0,0.00,1,1,1,1
Public Function,"BlinkGCPluginOptions::BlinkGCPluginOptions",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
File,"C:\6611\src\chrome\third_party\mozilla_security_manager\nsNSSCertHelper.cpp",2,29,1,87,906,79,7,4,7,2,32,2,29,1,,,,0,,,,,,29,,,,,,,,,,,,,,1069,87,888,176,722,79,0,18,,,486,707,133,0,574,,,,,,76,24,76,13,,,5,,,0.09,210,121,216,58
File,"C:\6611\src\chrome\third_party\mozilla_security_manager\nsNSSCertificate.cpp",0,12,1,7,30,42,4,4,4,1,13,0,12,1,,,,0,,,,,,2,,,,,,,,,,,,,,78,7,26,7,15,42,0,4,,,11,19,6,0,13,,,,,,5,5,5,1,,,2,,,1.62,7,7,7,2
File,"C:\6611\src\chrome\third_party\mozilla_security_manager\nsUsageArrayHelper.cpp",0,26,1,5,31,38,4,4,4,1,27,0,26,1,,,,0,,,,,,1,,,,,,,,,,,,,,73,5,28,19,19,38,0,3,,,7,12,7,0,5,,,,,,4,4,4,1,,,3,,,1.36,4,4,4,1
File,"C:\6611\src\content\shell\common\test_runner\WebPreferences.cpp",2,19,1,9,41,5,1,1,1,1,21,2,17,1,,,,0,,,,,,2,,,,,,,,,,,,,,55,9,36,4,27,5,1,4,,,28,32,4,0,28,,,,,,1,1,1,1,,,0,,,0.14,2,2,2,2
File,"C:\6611\src\content\shell\renderer\test_runner\AccessibilityController.cpp",1,7,0,38,140,6,2,2,2,1,8,1,7,0,,,,0,,,,,,18,,,,,,,,,,,,,,184,38,132,34,68,6,0,8,,,62,95,31,0,64,,,,,,6,6,8,6,,,2,,,0.05,31,31,35,25
File,"C:\6611\src\content\shell\renderer\test_runner\CppBoundClass.cpp",0,7,0,59,232,81,2,2,2,1,7,0,7,0,,,,2,,,,,,27,,,,,,,,,,,,,,367,59,227,90,103,81,0,5,,,104,149,67,0,82,,,,,,4,4,4,3,,,2,,,0.36,43,43,43,35
File,"C:\6611\src\content\shell\renderer\test_runner\CppVariant.cpp",0,11,0,34,251,12,3,2,3,1,11,0,11,0,,,,0,,,,,,23,,,,,,,,,,,,,,296,34,248,55,157,12,0,3,,,124,189,51,0,138,,,,,,9,9,11,8,,,2,,,0.05,59,41,61,39
